book,chapter,verse,png,nodes,words
Gen,1,1,output/reports/ot/cantillation/Gen/Gen_01_01.png,5,7
Gen,1,2,output/reports/ot/cantillation/Gen/Gen_01_02.png,9,14
Gen,1,3,output/reports/ot/cantillation/Gen/Gen_01_03.png,5,6
Gen,1,4,output/reports/ot/cantillation/Gen/Gen_01_04.png,7,12
Gen,1,5,output/reports/ot/cantillation/Gen/Gen_01_05.png,9,13
Gen,1,6,output/reports/ot/cantillation/Gen/Gen_01_06.png,7,11
Gen,1,7,output/reports/ot/cantillation/Gen/Gen_01_07.png,12,17
Gen,1,8,output/reports/ot/cantillation/Gen/Gen_01_08.png,8,10
Gen,1,9,output/reports/ot/cantillation/Gen/Gen_01_09.png,9,13
Gen,1,10,output/reports/ot/cantillation/Gen/Gen_01_10.png,7,12
Gen,1,11,output/reports/ot/cantillation/Gen/Gen_01_11.png,14,20
Gen,1,12,output/reports/ot/cantillation/Gen/Gen_01_12.png,11,18
Gen,1,13,output/reports/ot/cantillation/Gen/Gen_01_13.png,5,6
Gen,1,14,output/reports/ot/cantillation/Gen/Gen_01_14.png,11,16
Gen,1,15,output/reports/ot/cantillation/Gen/Gen_01_15.png,7,9
Gen,1,16,output/reports/ot/cantillation/Gen/Gen_01_16.png,10,18
Gen,1,17,output/reports/ot/cantillation/Gen/Gen_01_17.png,6,8
Gen,1,18,output/reports/ot/cantillation/Gen/Gen_01_18.png,8,12
Gen,1,19,output/reports/ot/cantillation/Gen/Gen_01_19.png,5,6
Gen,1,20,output/reports/ot/cantillation/Gen/Gen_01_20.png,9,15
Gen,1,21,output/reports/ot/cantillation/Gen/Gen_01_21.png,12,23
Gen,1,22,output/reports/ot/cantillation/Gen/Gen_01_22.png,9,13
Gen,1,23,output/reports/ot/cantillation/Gen/Gen_01_23.png,5,6
Gen,1,24,output/reports/ot/cantillation/Gen/Gen_01_24.png,11,14
Gen,1,25,output/reports/ot/cantillation/Gen/Gen_01_25.png,10,18
Gen,1,26,output/reports/ot/cantillation/Gen/Gen_01_26.png,13,19
Gen,1,27,output/reports/ot/cantillation/Gen/Gen_01_27.png,7,13
Gen,1,28,output/reports/ot/cantillation/Gen/Gen_01_28.png,14,22
Gen,1,29,output/reports/ot/cantillation/Gen/Gen_01_29.png,12,27
Gen,1,30,output/reports/ot/cantillation/Gen/Gen_01_30.png,12,21
Gen,1,31,output/reports/ot/cantillation/Gen/Gen_01_31.png,9,15
